Fecha;año;mes;día;Tipo de Egreso;Nota-Observacion; Valor ;Grupo 1;Quien paga;De donde Paga;Actuals / FCST
6/05/2026;2026;5;6;Domicilios entrega almacen;Moto domicilio; $5.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
6/05/2026;2026;5;6;Domicilios entrega almacen;Moto domicilio; $5.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
7/05/2026;2026;5;7;Arriendo almacen;Arriendo almacen; $900.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
7/05/2026;2026;5;7;Salud Betty;Salud Betty; $670.000 ;COSTOS INDIRECTOS DE FABRICACIÓN (CIF);Juan;EFECTIVO;ACT
7/05/2026;2026;5;7;GASTOS CASA/PERSONALES;Juan Camilo; $50.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
8/05/2026;2026;5;8;GASTOS CASA/PERSONALES;Juan Camilo-postres; $40.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
8/05/2026;2026;5;8;RE-BRANDING;Camisetas blancas para bordar amiga de karol; $50.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
8/05/2026;2026;5;8;Domicilios mandados taller;domicilio taller; $5.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
9/05/2026;2026;5;9;GASTOS CASA/PERSONALES;Cumpleaños karol; $18.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
9/05/2026;2026;5;9;GASTOS CASA/PERSONALES;Bollos Clelia; $50.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
9/05/2026;2026;5;9;GASTOS CASA/PERSONALES;Domicilio richard por mandado clelia; $5.000 ;GASTOS CASA/PERSONALES;Juan;EFECTIVO;ACT
11/05/2026;2026;5;11;Plan celular clelia/juan;Celular clelia; $80.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
11/05/2026;2026;5;11;Domicilios mandados taller;Moto taller-almacen; $10.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
12/05/2026;2026;5;12;Domicilios entrega almacen;Moto domicilio; $5.000 ;LOGÍSTICA Y TRANSPORTE;Juan;EFECTIVO;ACT
12/05/2026;2026;5;12;Bolsas individuales;Bolsas plasticas empacar producto; $40.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
12/05/2026;2026;5;12;Refrigerios y bienestar comercial;Pan de bono; $6.000 ;GASTOS OPERACIONALES;Juan;EFECTIVO;ACT
1/01/2026;2026;1;1;Bordadora-cindy;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
2/05/2026;2026;5;2;Coordinador de taller-Betty;nomina-quincena; $1.000.000 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
28/02/2026;2026;2;28;Operarias;nomina-quincena; $4.868.800 ;COSTOS DIRECTOS;Juan;EFECTIVO;ACT
